Talla;MergeSort(nanoS);MergeSort Modificado(nanoS)
1000;2046690.000000;287650.000000
2000;4132260.000000;639940.000000
3000;6295720.000000;1018700.000000
4000;8410490.000000;1376600.000000
5000;10668110.000000;1783070.000000
6000;12767230.000000;2169350.000000
7000;14868700.000000;2581500.000000
8000;16987970.000000;2963190.000000
9000;19083960.000000;3396740.000000
10000;21317080.000000;3804930.000000
