State,Action_0,Action_1,Action_2,Action_3,Action_4
0,-4.9415134731746,-16.815464205843444,-23.369858314106914,-20.993303071323105,-24.065948673324908
1,-6.532519669648799,-19.2398673132184,-19.394172145898455,-23.981527791825265,-22.922471970975128
2,8.230477105283306,1.09254581632287,-8.38949158388058,-25.613114889850262,-17.019798987195507
3,1.2813855277219588,-18.93427787681769,-21.655431802681207,-20.89989163387457,-22.075629289063485
4,-4.259848851242047,-26.480061155495125,-26.321474188055426,-26.428160193148436,-27.348812671045664
5,9.593396046439754,5.3495684675454775,17.43687862218689,0.9335850525204168,-9.967084786452173
6,45.124051535066485,50.97283046937041,52.80011067152659,19.585637371067406,6.785434303155372
7,70.95022602627805,55.299409103765896,70.3179873716661,39.58632202084617,57.27546884886278
8,65.38470925764074,72.95243979374656,62.44248650757369,64.53745196178335,47.75374926616445
9,92.29131020061313,76.95377123059642,88.01975198712921,89.64188019866484,76.45085257718527
10,-23.01834254338545,-18.976311982013673,-17.5799801316941,-5.633894628441048,-8.020855962169671
11,7.862369376775934,8.510819284130227,12.887987093358436,22.72888050485039,17.44353152952309
12,75.23242596991709,94.61154014936429,91.7431373694293,92.95800001269467,100.85164723090655
13,165.44994342609533,165.31579327246365,167.0324239659749,150.7559925774553,176.03725890503867
14,318.161724545058,276.2658446113852,298.6452346785647,271.9451837646711,257.69971962209274
15,-0.8428166061066054,-0.5722271883995729,0.7603221105920133,-0.639506839332904,0.5656779170688098
16,0.0698472566866799,0.2157602534074785,-0.20959467312527358,-0.9001231593622301,0.7742400355612966
17,0.08015157373689341,10.483361931260589,4.475849011348336,57.11557478184858,5.693442984783385
18,80.73905494490003,78.4161840516962,65.26952620972075,132.51452914469772,92.2126615271086
19,222.86571468176433,215.7496556789245,183.70663460174575,268.40263712324025,366.54853843845063
