State,Action_0,Action_1,Action_2
0,133.07101035161452,196.54979213992587,808.8007285818313
1,866.6415506962352,749.0510231007979,1026.326758746481
2,327.5966622920944,263.340135237832,1013.9924556298282
3,145.08091505648798,1.3996886031137832,-0.28105646276991125
4,846.104649108918,832.198326070716,1099.9674329636966
5,113.45606193764455,105.81070025719701,379.7113041826041
6,0.2177207011713893,-0.9734768179371578,-0.9256090680511362
7,522.8956098606681,506.9191611003631,1102.2322396824932
8,708.563160306874,667.0338966923911,1091.8449793317507
9,-0.53585085852468,0.17344529819609722,-0.9961194983685397
10,-0.06769044371710486,-0.8378462562264468,0.9669581329226162
11,685.2248869666828,715.5911707786165,1094.8328523204677
12,-0.28429052149990386,-0.520266651425106,-0.5851617916628766
13,-0.5191330308143398,0.12060056855885537,0.12118379559010761
14,-0.8609822153171218,0.3584355588843946,0.6694716800227836
15,0.3985364746243716,-0.43611296198834526,-0.196792962358729
16,0.30260930639961114,-0.7218056041054217,-0.6043275696415182
17,-0.6859280597979591,-0.40691354628200105,-0.948239936829842
18,1042.7559997284018,793.7741271742368,885.8835972092457
19,1054.8791461832157,456.50910383945234,412.59152538379584
20,-0.3851799669144842,0.7325476792429504,0.15489350788853962
21,272.4427983465516,633.6880537169684,199.89328481741703
22,1034.7135749066113,1098.3533698592596,1127.9444479373874
23,-0.13629085226885196,0.7122600184553145,0.32264231167288315
24,-0.6953003225546495,-0.45782322023368827,78.3877973723406
25,1037.6407681040146,1148.1768844189185,1160.4563836394289
26,0.6744451696551368,0.9200675989603726,-0.42997086411138263
27,-0.51270604108074,-0.7279133251380394,0.27453468044584284
28,1045.581468766446,1123.6939707809895,1191.418027727459
29,13.305921912898352,5.731063353490858,748.9449698991036
30,-0.756882516686308,0.31263085308370475,-0.07950583590361404
31,94.30745105779015,122.96448469256242,975.5022035087804
32,866.5816185925376,713.5215877559665,1087.5936181755023
33,0.237470047592228,-0.9667492945932759,-0.8691500422773837
34,-0.15356200669425912,0.19465594975736433,-0.1812493847513783
35,640.8201506237722,412.1208650108606,1049.1425311236874
36,1044.794830318598,703.1310123185001,718.1901099020997
37,-0.9231329566847004,-0.9337740450839573,-0.6042601001649415
38,0.67876941155028,-0.6416672323510839,-0.10374180017602619
