State,Action_0,Action_1,Action_2,Action_3,Action_4
0,-0.25457165809908,0.23125639071497472,0.1891253760049738,-0.08711874005098696,0.2674572314306849
1,30.562073296776543,13.284889080141877,35.28193319905385,79.41315980126018,-0.80828500509935
2,11.818700781494044,5.507988847622821,4.646794858191201,62.677785663236534,20.59748625710789
3,-441.4169310698356,-139.98164453574483,-281.965165574001,-191.884201555373,20.522921063616693
4,-425.43617525462986,-509.03231127501004,-445.81701983497646,-387.58989032729977,-75.63039838730081
5,-0.5425415071664677,2.850325174394616,0.7332866257030553,-0.632741430829936,-0.8347347501441251
6,170.20977535554712,190.41819519081298,178.67800800643775,249.15367231311842,156.7421685424123
7,137.23652441131185,158.3578690378731,148.9994630636246,157.53525627573066,226.71160178241354
8,86.57744865209257,71.80023769289836,101.1909311262862,76.85826503983975,160.27364649827865
9,-119.4895672970009,-16.187875540147513,-42.39736118240985,-82.2970848711081,-123.72632118260846
10,7.819030439704674,19.00230641104649,101.7639364381926,56.868807097127885,52.31337190971729
11,306.93644489720265,235.60419844782493,230.794824529867,235.46456159044186,257.14538549434235
12,372.0228699548872,347.22808338960067,322.6179466872502,347.86996651726236,319.72892591236575
13,285.6956469160508,266.67674353090956,251.0216695451809,241.0716477653467,324.1591317597397
14,-5.127262392853273,-17.786604661098803,-8.848670286236276,-168.82061814414513,-9.09292666725653
15,59.185871574243976,-53.84182715488912,-35.811815617243326,-9.653313523560051,-23.427726658481244
16,77.46781402776907,52.190673848997996,92.43948054255506,11.859113275237295,30.27573083220763
17,188.63701341117184,162.45185918130647,161.62548848867885,158.42960331846675,155.56548003270788
18,179.65304482452575,129.2261788403684,196.44917769316837,106.06330563564944,217.27476245914548
19,-0.9914570115099843,1.367069237202443,-0.18411686422390727,3.4110002933840695,52.55715483713888
20,-188.90047096502636,-392.75790027005166,-260.497797170808,-507.50985512726015,-302.0364921188793
21,-242.44242445676778,-188.23861374693217,-509.8520615445975,-141.17804070918012,-316.0430051213437
22,55.060568874410635,-2.869675537897157,-103.69445057361335,7.277502683840967,11.06227677300527
23,59.92456424357028,3.879574639887717,34.477464025927794,40.07260010982058,15.240836769162874
24,-0.37095601416243085,-0.06996288766380454,0.5154242327020395,0.7301325557225047,0.023707254599452554
