State,Action_0,Action_1,Action_2,Action_3,Action_4
0,-40.243835912449086,-40.637721412226135,-34.06456719133221,-40.288480954429325,-40.61101256841112
1,8.10241325311798,-23.628496289881564,-5.095105570189986,-21.590879683001184,-21.550931056331613
2,24.319697387258078,18.245241242550193,1.9194556037832855,6.466011386794357,-0.6647039923699882
3,22.04817663182545,19.31733834324646,20.270892531897367,19.1051797742454,16.533151819718537
4,-17.901483246149205,-43.32053700269151,-42.394120745100594,-43.25942294411414,-43.33760695093958
5,22.364844179948946,25.675020574499626,29.968673916834735,4.194090249054411,6.606376257769562
6,31.52110391723483,43.579149089453324,41.60567518682674,39.765592854551784,38.359820859083904
7,71.80609523720271,71.83164323618165,73.0790456675566,54.48219166937905,45.46791239470762
8,89.49798388508816,84.59833260201937,62.94811399774649,88.19814897727429,79.8220762890827
9,81.9937656784798,77.731289217585,80.6285926250265,69.96995907544562,67.04888710614713
10,0.028617864151652794,0.08692501873575775,0.5086456961519754,0.27882714033458256,0.8859942297987846
11,35.44795486646355,34.742770976704925,38.03753481360949,24.752031638878886,45.35612550344608
12,68.26155116582855,79.52266259936641,78.99074466409783,67.34747965401459,101.08802905466125
13,196.5327418446033,187.05011613012158,203.81746756085425,207.08472597507196,196.7774422715565
14,309.19268071914007,299.17401920279644,303.1824689718124,286.50672419852947,301.08979047113814
15,-0.8428166061066054,-0.5722271883995729,0.7603221105920133,-0.639506839332904,0.5656779170688098
16,0.0698472566866799,0.2157602534074785,-0.20959467312527358,-0.9001231593622301,0.7742400355612966
17,0.08015157373689341,10.483361931260589,4.475849011348336,57.11557478184858,5.693442984783385
18,80.46142081099013,78.4161840516962,65.26952620972075,63.6348724941854,44.356302226510735
19,15.679655297920734,0.6300408904914467,0.36114353009886613,0.4612334455813534,354.5439626989616
